ts_code,trade_date
000430.SZ,2022-09-01
000430.SZ,2022-09-02
000430.SZ,2022-09-05
000430.SZ,2022-09-06
000430.SZ,2022-09-07
000430.SZ,2022-09-08
000430.SZ,2022-09-09
000430.SZ,2022-09-13
000430.SZ,2022-09-14
000430.SZ,2022-09-15
000430.SZ,2022-09-16
000430.SZ,2022-09-19
000430.SZ,2022-09-20
000430.SZ,2022-09-21
000430.SZ,2022-09-22
000430.SZ,2022-09-23
000430.SZ,2022-09-26
000430.SZ,2022-09-27
000430.SZ,2022-09-28
000430.SZ,2022-09-29
000430.SZ,2022-09-30
000430.SZ,2022-10-10
000430.SZ,2022-10-11
000430.SZ,2022-10-12
000430.SZ,2022-10-13
000430.SZ,2022-10-14
000430.SZ,2022-10-17
000430.SZ,2022-10-18
000430.SZ,2022-10-19
000430.SZ,2022-10-20
000430.SZ,2022-10-21
000430.SZ,2022-10-24
000430.SZ,2022-10-25
000430.SZ,2022-10-26
000430.SZ,2022-10-27
000430.SZ,2022-10-28
000430.SZ,2022-10-31
000430.SZ,2022-11-01
000430.SZ,2022-11-02
000430.SZ,2022-11-03
000430.SZ,2022-11-04
000430.SZ,2022-11-07
000430.SZ,2022-11-08
000430.SZ,2022-11-09
000430.SZ,2022-11-10
000430.SZ,2022-11-11
000430.SZ,2022-11-14
000430.SZ,2022-11-15
000430.SZ,2022-11-16
000430.SZ,2022-11-17
000430.SZ,2022-11-18
000430.SZ,2022-11-21
000430.SZ,2022-11-22
000430.SZ,2022-11-23
000430.SZ,2022-11-24
000430.SZ,2022-11-25
000430.SZ,2022-11-28
000430.SZ,2022-11-29
000430.SZ,2022-11-30
000430.SZ,2022-12-01
000430.SZ,2022-12-02
000430.SZ,2022-12-05
000430.SZ,2022-12-06
000430.SZ,2022-12-07
000430.SZ,2022-12-08
000430.SZ,2022-12-09
000430.SZ,2022-12-12
000430.SZ,2022-12-13
000430.SZ,2022-12-14
000430.SZ,2022-12-15
000430.SZ,2022-12-16
000430.SZ,2022-12-19
000430.SZ,2022-12-20
000430.SZ,2022-12-21
000430.SZ,2022-12-22
000430.SZ,2022-12-23
000430.SZ,2022-12-26
000430.SZ,2022-12-27
000430.SZ,2022-12-28
000430.SZ,2022-12-29
000430.SZ,2022-12-30
000430.SZ,2023-01-03
000430.SZ,2023-01-04
000430.SZ,2023-01-05
000430.SZ,2023-01-06
000430.SZ,2023-01-09
000430.SZ,2023-01-10
000430.SZ,2023-01-11
000430.SZ,2023-01-12
000430.SZ,2023-01-13
000430.SZ,2023-01-16
000430.SZ,2023-01-17
000430.SZ,2023-01-18
000430.SZ,2023-01-19
000430.SZ,2023-01-20
000430.SZ,2023-01-30
000430.SZ,2023-01-31
000430.SZ,2023-02-01
000430.SZ,2023-02-02
000430.SZ,2023-02-03
000430.SZ,2023-02-06
000430.SZ,2023-02-07
000430.SZ,2023-02-08
000430.SZ,2023-02-09
000430.SZ,2023-02-10
000430.SZ,2023-02-13
000430.SZ,2023-02-14
000430.SZ,2023-02-15
000430.SZ,2023-02-16
000430.SZ,2023-02-17
000430.SZ,2023-02-20
000430.SZ,2023-02-21
000430.SZ,2023-02-22
000430.SZ,2023-02-23
000430.SZ,2023-02-24
000430.SZ,2023-02-27
000430.SZ,2023-02-28
